feature,importance
ratio_ET_WT,0.092852
vol_TC,0.064882
nb_cc_distmap_NCR,0.064843
nb_cc_baseline_NCR,0.064031
vol_ET,0.063287
pca_elongation_WT,0.062848
surface_roughness_WT,0.059658
vol_WT,0.059481
euler_ET,0.058741
sphericity_WT,0.058207
frac_small_cc_NCR,0.052563
euler_WT,0.045816
nb_cc_NCR,0.042771
cc_spread_ET,0.039518
frac_small_cc_ET,0.038073
cavities_WT,0.037444
euler_TC,0.032186
nb_cc_distmap_ET,0.021535
nb_cc_baseline_ET,0.020944
nb_cc_ET,0.020321
